target,dim,rep,variant,JS,pool_ESS,w_min,w_max
correlated_gaussian,50,0,pool_resample_uniform,0.056541903186258465,,,
correlated_gaussian,50,0,pool_memberweight_resample,0.05791928914933802,,0.095798428953511,0.2565473715192055
correlated_gaussian,50,0,pool_coverage_resample,0.06811105733280391,,,
correlated_gaussian,50,0,pool_full_aggregation,0.07024512196423333,9822.450573257713,,
correlated_gaussian,50,1,exact_single_10000,0.042884819656880735,,,
correlated_gaussian,50,1,pool_uniform,0.042970084187154096,9875.51192179253,,
correlated_gaussian,50,1,pool_resample_uniform,0.056168471308761264,,,
correlated_gaussian,50,1,pool_memberweight_resample,0.05678993539608863,,0.10592896103394195,0.2877439319352473
correlated_gaussian,50,1,pool_coverage_resample,0.06816652056567692,,,
correlated_gaussian,50,1,pool_full_aggregation,0.07030881614874077,9854.31916248794,,
correlated_gaussian,50,2,exact_single_10000,0.043388518963203906,,,
correlated_gaussian,50,2,pool_uniform,0.04289269524185358,9802.224313243818,,
correlated_gaussian,50,2,pool_resample_uniform,0.05541878110465585,,,
correlated_gaussian,50,2,pool_memberweight_resample,0.05617794420842668,,0.11245493103819451,0.28255649275217554
correlated_gaussian,50,2,pool_coverage_resample,0.06893839050942882,,,
correlated_gaussian,50,2,pool_full_aggregation,0.06948576015130223,9841.857049887209,,
correlated_gaussian,50,3,exact_single_10000,0.043504015707884404,,,
correlated_gaussian,50,3,pool_uniform,0.043999232158340805,9892.5346417023,,
correlated_gaussian,50,3,pool_resample_uniform,0.05611604662056116,,,
correlated_gaussian,50,3,pool_memberweight_resample,0.05785087872430816,,0.10363454608407778,0.26230683726314097
correlated_gaussian,50,3,pool_coverage_resample,0.0691729129845105,,,
correlated_gaussian,50,3,pool_full_aggregation,0.07141244331211011,9922.853478317691,,
correlated_gaussian,50,4,exact_single_10000,0.042763276131605334,,,
correlated_gaussian,50,4,pool_uniform,0.04361063850791687,9869.92212254385,,
correlated_gaussian,50,4,pool_resample_uniform,0.05614582616471951,,,
correlated_gaussian,50,4,pool_memberweight_resample,0.05745406482376393,,0.12685599276803808,0.34290351558223564
correlated_gaussian,50,4,pool_coverage_resample,0.06823122863941285,,,
correlated_gaussian,50,4,pool_full_aggregation,0.07019107792363356,9892.457133312402,,
funnel,20,0,exact_single_10000,0.04269773865618902,,,
funnel,20,0,pool_uniform,0.04365722487947172,9918.4292536456,,
funnel,20,0,pool_resample_uniform,0.055820356203266044,,,
funnel,20,0,pool_memberweight_resample,0.057686450447347326,,0.10153474910808813,0.2950422635868859
funnel,20,0,pool_coverage_resample,0.06682648425795999,,,
funnel,20,0,pool_full_aggregation,0.06886298073356169,9883.094822424679,,
funnel,20,1,exact_single_10000,0.0441053171073548,,,
funnel,20,1,pool_uniform,0.04331684976976493,9885.372382686377,,
funnel,20,1,pool_resample_uniform,0.05649668957212951,,,
funnel,20,1,pool_memberweight_resample,0.056757347726507056,,0.09504809595550477,0.2377505609628781
funnel,20,1,pool_coverage_resample,0.07138062318052889,,,
funnel,20,1,pool_full_aggregation,0.07321703804053162,9866.000795348325,,
funnel,20,2,exact_single_10000,0.04308756340790606,,,
funnel,20,2,pool_uniform,0.04299908878261199,9847.123035593273,,
funnel,20,2,pool_resample_uniform,0.05605008404704396,,,
funnel,20,2,pool_memberweight_resample,0.05714470896342609,,0.11032924829027003,0.2655100223202319
funnel,20,2,pool_coverage_resample,0.06923945758660185,,,
funnel,20,2,pool_full_aggregation,0.07117514581892206,9760.257021861911,,
funnel,20,3,exact_single_10000,0.04426300885554069,,,
funnel,20,3,pool_uniform,0.043183608701438905,9933.817758322237,,
funnel,20,3,pool_resample_uniform,0.05631798561375691,,,
funnel,20,3,pool_memberweight_resample,0.057177979768309864,,0.09748493367857651,0.26076921157025684
funnel,20,3,pool_coverage_resample,0.06669659510036058,,,
funnel,20,3,pool_full_aggregation,0.06788836388739454,9829.000774657765,,
funnel,20,4,exact_single_10000,0.043390259247414034,,,
funnel,20,4,pool_uniform,0.04313046333157743,9834.318681056178,,
funnel,20,4,pool_resample_uniform,0.056137419677775725,,,
funnel,20,4,pool_memberweight_resample,0.057327972756386236,,0.10217470391111276,0.2829707095216086
funnel,20,4,pool_coverage_resample,0.07341234795527021,,,
funnel,20,4,pool_full_aggregation,0.0755535688822859,9731.39400071591,,
funnel,50,0,exact_single_10000,0.04397327410995075,,,
funnel,50,0,pool_uniform,0.0443044527775005,9864.204181458383,,
funnel,50,0,pool_resample_uniform,0.05849344999431715,,,
funnel,50,0,pool_memberweight_resample,0.05787177369639877,,0.10456311608013755,0.28441879001243753
funnel,50,0,pool_coverage_resample,0.06489351876599696,,,
funnel,50,0,pool_full_aggregation,0.06670649707334368,9883.381588256321,,
funnel,50,1,exact_single_10000,0.0442332230266107,,,
funnel,50,1,pool_uniform,0.043498693386688256,9800.8878319736,,
funnel,50,1,pool_resample_uniform,0.05702158031566456,,,
funnel,50,1,pool_memberweight_resample,0.058031175191146,,0.13494093640351887,0.3521253543286489
funnel,50,1,pool_coverage_resample,0.06457119966932681,,,
funnel,50,1,pool_full_aggregation,0.06614740403939931,9892.871829078065,,
funnel,50,2,exact_single_10000,0.044303105241125185,,,
funnel,50,2,pool_uniform,0.043536907907432705,9833.043707924699,,
funnel,50,2,pool_resample_uniform,0.0564802816582905,,,
funnel,50,2,pool_memberweight_resample,0.05698128333136396,,0.10715001515421031,0.29208467707753466
funnel,50,2,pool_coverage_resample,0.06986657824620894,,,
funnel,50,2,pool_full_aggregation,0.07182085718297938,9831.802965984212,,
funnel,50,3,exact_single_10000,0.04305608368214879,,,
funnel,50,3,pool_uniform,0.04389738788844385,9858.855846498529,,
funnel,50,3,pool_resample_uniform,0.05562654795969773,,,
funnel,50,3,pool_memberweight_resample,0.058144073923733844,,0.12599347422297108,0.32616886223492547
funnel,50,3,pool_coverage_resample,0.06294345535334121,,,
funnel,50,3,pool_full_aggregation,0.06551008571062339,9889.22933308567,,
funnel,50,4,exact_single_10000,0.04384540841345986,,,
funnel,50,4,pool_uniform,0.04352529400738073,9842.34101704459,,
funnel,50,4,pool_resample_uniform,0.05669384310519086,,,
funnel,50,4,pool_memberweight_resample,0.057166769126162614,,0.09943230578076806,0.27282083436033067
funnel,50,4,pool_coverage_resample,0.06769500064413146,,,
funnel,50,4,pool_full_aggregation,0.07075690095398954,9822.147892552313,,
gaussian_ring,20,0,exact_single_10000,0.043671513304736884,,,
gaussian_ring,20,0,pool_uniform,0.04437109978691038,9887.275578280085,,
gaussian_ring,20,0,pool_resample_uniform,0.0568249743979375,,,
