kind,target,dim,N,nbins,rep,JS
bins,correlated_gaussian,20,5000,200,1,0.08176558866827373
bins,correlated_gaussian,20,5000,200,2,0.08348557741472042
bins,correlated_gaussian,20,5000,200,3,0.08159489074391506
bins,correlated_gaussian,20,5000,200,4,0.08147921612163714
bins,correlated_gaussian,20,10000,200,0,0.06264549292237294
bins,correlated_gaussian,20,10000,200,1,0.06258674903345418
bins,correlated_gaussian,20,10000,200,2,0.06266129029491072
bins,correlated_gaussian,20,10000,200,3,0.0625563895760113
bins,correlated_gaussian,20,10000,200,4,0.0614355419982854
bins,correlated_gaussian,20,20000,200,0,0.05081568606398362
bins,correlated_gaussian,20,20000,200,1,0.0513432091569578
bins,correlated_gaussian,20,20000,200,2,0.05065937241569801
bins,correlated_gaussian,20,20000,200,3,0.05090915455600198
bins,correlated_gaussian,20,20000,200,4,0.05079237194285301
